year,pcrgdp,unem,cunem
1959,7.099999904632568,5.5,
1960,2.5,5.5,0.0
1961,2.299999952316284,6.699999809265137,1.1999998092651367
1962,6.099999904632568,5.5,-1.1999998092651367
1963,4.400000095367432,5.699999809265137,0.19999980926513672
1964,5.800000190734863,5.199999809265137,-0.5
1965,6.400000095367432,4.5,-0.6999998092651367
1966,6.5,3.799999952316284,-0.7000000476837158
1967,2.5,3.799999952316284,0.0
1968,4.800000190734863,3.5999999046325684,-0.20000004768371582
1969,3.0999999046325684,3.5,-0.09999990463256836
1970,0.20000000298023224,4.900000095367432,1.4000000953674316
1971,3.4000000953674316,5.900000095367432,1.0
1972,5.300000190734863,5.599999904632568,-0.3000001907348633
1973,5.800000190734863,4.900000095367432,-0.6999998092651367
1974,-0.5,5.599999904632568,0.6999998092651367
1975,-0.20000000298023224,8.5,2.9000000953674316
1976,5.300000190734863,7.699999809265137,-0.8000001907348633
1977,4.599999904632568,7.099999904632568,-0.5999999046325684
1978,5.599999904632568,6.099999904632568,-1.0
1979,3.200000047683716,5.800000190734863,-0.2999997138977051
1980,-0.20000000298023224,7.099999904632568,1.299999713897705
1981,2.5,7.599999904632568,0.5
1982,-1.899999976158142,9.699999809265137,2.0999999046325684
1983,4.5,9.600000381469727,-0.09999942779541016
1984,7.199999809265137,7.5,-2.1000003814697266
1985,4.099999904632568,7.199999809265137,-0.3000001907348633
1986,3.5,7.0,-0.19999980926513672
1987,3.4000000953674316,6.199999809265137,-0.8000001907348633
1988,4.099999904632568,5.5,-0.6999998092651367
1989,3.5,5.300000190734863,-0.19999980926513672
1990,1.899999976158142,5.599999904632568,0.2999997138977051
1991,-0.20000000298023224,6.800000190734863,1.200000286102295
1992,3.299999952316284,7.5,0.6999998092651367
1993,2.700000047683716,6.900000095367432,-0.5999999046325684
1994,4.0,6.099999904632568,-0.8000001907348633
1995,2.5,5.599999904632568,-0.5
1996,3.700000047683716,5.400000095367432,-0.19999980926513672
1997,4.5,4.900000095367432,-0.5
1998,4.199999809265137,4.5,-0.40000009536743164
1999,4.5,4.199999809265137,-0.3000001907348633
2000,3.700000047683716,4.0,-0.19999980926513672
2001,0.800000011920929,4.800000190734863,0.8000001907348633
2002,1.600000023841858,5.800000190734863,1.0
2003,2.5,6.0,0.19999980926513672
2004,3.9000000953674316,5.5,-0.5
2005,3.200000047683716,5.099999904632568,-0.40000009536743164
