state,admn90,admn85,open90,open85,dthrte90,dthrte85,speed90,speed85,cdthrte,cadmn,copen,cspeed
AL,0,0,0,0,2.5999999046325684,2.9000000953674316,1,0,-0.3000001907348633,0,0,1
AK,1,1,1,0,2.0999999046325684,3.200000047683716,0,0,-1.1000001430511475,0,1,0
AZ,1,0,0,0,2.5,4.400000095367432,1,0,-1.9000000953674316,1,0,1
AR,0,0,0,0,2.9000000953674316,3.4000000953674316,1,0,-0.5,0,0,1
CA,1,0,1,1,2.0,2.5999999046325684,1,0,-0.5999999046325684,1,0,1
CO,1,1,0,0,1.899999976158142,2.4000000953674316,1,0,-0.5000001192092896,0,0,1
CT,1,0,0,0,1.5,2.0,0,0,-0.5,1,0,0
DE,1,1,0,0,2.200000047683716,2.200000047683716,0,0,0.0,0,0,0
DC,1,1,0,0,1.600000023841858,3.0,0,0,-1.399999976158142,0,0,0
FL,1,0,1,0,2.700000047683716,3.4000000953674316,1,0,-0.7000000476837158,1,1,1
GA,0,0,0,0,2.0,2.700000047683716,1,0,-0.7000000476837158,0,0,1
HI,0,0,1,1,2.299999952316284,2.0,0,0,0.2999999523162842,0,0,0
ID,0,0,1,1,2.9000000953674316,3.5,1,0,-0.5999999046325684,0,0,1
IL,1,0,1,1,1.899999976158142,2.299999952316284,1,0,-0.3999999761581421,1,0,1
IN,1,1,0,0,1.7999999523162842,2.5999999046325684,1,0,-0.7999999523162842,0,0,1
IA,1,1,1,1,2.0999999046325684,2.4000000953674316,1,0,-0.3000001907348633,0,0,1
KS,1,0,1,1,2.0999999046325684,2.5999999046325684,1,0,-0.5,1,0,1
KY,0,0,0,0,2.5999999046325684,2.5999999046325684,1,0,0.0,0,0,1
LA,1,1,0,0,2.5,3.0,1,0,-0.5,0,0,1
ME,1,1,0,0,1.7999999523162842,2.4000000953674316,1,0,-0.6000001430511475,0,0,1
MD,1,0,1,1,1.899999976158142,2.299999952316284,0,0,-0.3999999761581421,1,0,0
MA,0,0,0,0,1.2999999523162842,1.899999976158142,0,0,-0.6000000238418579,0,0,0
MI,0,0,1,1,1.899999976158142,2.4000000953674316,1,0,-0.5000001192092896,0,0,1
MN,1,1,1,1,1.5,2.0,1,0,-0.5,0,0,1
MS,1,1,0,0,3.200000047683716,3.5999999046325684,1,0,-0.39999985694885254,0,0,1
MO,1,1,0,0,2.299999952316284,2.5999999046325684,1,0,-0.2999999523162842,0,0,1
MT,0,0,1,1,2.5,3.0999999046325684,1,0,-0.5999999046325684,0,0,1
NE,0,0,0,0,1.899999976158142,2.0999999046325684,1,0,-0.19999992847442627,0,0,1
NV,1,1,0,0,3.5999999046325684,3.9000000953674316,1,0,-0.3000001907348633,0,0,1
NH,0,0,0,0,1.600000023841858,2.5999999046325684,1,0,-0.9999998807907104,0,0,1
NJ,0,0,0,0,1.5,1.899999976158142,0,0,-0.3999999761581421,0,0,0
NM,1,1,1,0,3.0999999046325684,4.199999809265137,1,0,-1.0999999046325684,0,1,1
NY,0,0,0,0,2.0,2.299999952316284,0,0,-0.2999999523162842,0,0,0
NC,1,1,1,1,2.299999952316284,3.0999999046325684,1,0,-0.7999999523162842,0,0,1
ND,1,1,1,1,1.899999976158142,2.200000047683716,1,0,-0.30000007152557373,0,0,1
OH,0,0,0,0,1.7999999523162842,2.0999999046325684,1,0,-0.2999999523162842,0,0,1
OK,1,1,1,1,2.0,2.5,1,0,-0.5,0,0,1
OR,1,1,1,1,2.200000047683716,2.799999952316284,1,0,-0.5999999046325684,0,0,1
PA,0,0,0,0,1.899999976158142,2.4000000953674316,0,0,-0.5000001192092896,0,0,0
RI,0,0,0,0,1.2999999523162842,2.0999999046325684,0,0,-0.7999999523162842,0,0,0
SC,0,0,1,1,2.9000000953674316,3.5,1,0,-0.5999999046325684,0,0,1
SD,0,0,1,1,2.299999952316284,2.299999952316284,1,0,0.0,0,0,1
TN,0,0,0,0,2.5999999046325684,3.4000000953674316,1,0,-0.8000001907348633,0,0,1
TX,0,0,0,0,2.0,2.700000047683716,1,0,-0.7000000476837158,0,0,1
UT,1,1,1,1,2.0,2.799999952316284,1,0,-0.7999999523162842,0,0,1
VT,1,0,0,0,1.5,2.5,1,0,-1.0,1,0,1
VA,0,0,0,0,1.7999999523162842,2.0999999046325684,1,0,-0.2999999523162842,0,0,1
WA,0,1,1,1,1.899999976158142,2.299999952316284,1,0,-0.3999999761581421,-1,0,1
WV,1,1,0,0,3.200000047683716,3.5999999046325684,1,0,-0.39999985694885254,0,0,1
WI,1,0,1,1,1.7999999523162842,2.0999999046325684,1,0,-0.2999999523162842,1,0,1
WY,1,1,0,0,2.200000047683716,2.700000047683716,1,0,-0.5,0,0,1
